"Area Name","Area Type","Year","Month","Seasonally Adjusted(Y/N)","Status","Labor Force","Employment","Unemployment","Unemployment Rate"
"California","State","2009","Annual","N","Final","18430800","16317800","2113000","11.5"
"Los Angeles-Long Beach-Glendale MD","Metropolitan Area","2009","Annual","N","Final","4962900","4384100","578700","11.7"
"Los Angeles County","County","2009","Annual","N","Final","4962900","4384100","578700","11.7"
"Yuba County","County","2009","Annual","N","Final","28800","23800","5000","17.4"
"Yuba City MSA","Metropolitan Area","2009","Annual","N","Final","71300","59000","12200","17.2"
"Yolo County","County","2009","Annual","N","Final","100000","88600","11400","11.4"
"Tuolumne County","County","2009","Annual","N","Final","26060","22780","3280","12.6"
"Visalia MSA","Metropolitan Area","2009","Annual","N","Final","206000","174400","31600","15.4"
"Tulare County","County","2009","Annual","N","Final","206000","174400","31600","15.4"
"Vallejo MSA","Metropolitan Area","2009","Annual","N","Final","217200","193800","23400","10.8"
"Solano County","County","2009","Annual","N","Final","217200","193800","23400","10.8"
"Trinity County","County","2009","Annual","N","Final","5060","4180","880","17.4"
"Tehama County","County","2009","Annual","N","Final","25690","22060","3630","14.1"
"Sutter County","County","2009","Annual","N","Final","42500","35300","7200","17"
"Siskiyou County","County","2009","Annual","N","Final","19900","16970","2930","14.7"
"Stockton-Lodi MSA","Metropolitan Area","2009","Annual","N","Final","302000","255400","46700","15.4"
"San Joaquin County","County","2009","Annual","N","Final","302000","255400","46700","15.4"
"Sierra County","County","2009","Annual","N","Final","1620","1370","250","15.4"
"Santa Clara County","County","2009","Annual","N","Final","885900","788700","97100","11"
"Santa Rosa-Petaluma MSA","Metropolitan Area","2009","Annual","N","Final","259600","234300","25300","9.7"
"Sonoma County","County","2009","Annual","N","Final","259600","234300","25300","9.7"
"Santa Maria-Santa Barbara MSA","Metropolitan Area","2009","Annual","N","Final","222500","203500","19000","8.5"
"Santa Barbara County","County","2009","Annual","N","Final","222500","203500","19000","8.5"
"Santa Cruz-Watsonville MSA","Metropolitan Area","2009","Annual","N","Final","149500","132400","17200","11.5"
"Santa Cruz County","County","2009","Annual","N","Final","149500","132400","17200","11.5"
"San Rafael MD","Metropolitan Area","2009","Annual","N","Final","133500","123100","10400","7.8"
"Marin County","County","2009","Annual","N","Final","133500","123100","10400","7.8"
"San Mateo County","County","2009","Annual","N","Final","378500","346300","32200","8.5"
"San Jose-Sunnyvale-Santa Clara MSA","Metropolitan Area","2009","Annual","N","Final","911100","810300","100800","11.1"
"San Luis Obispo-Paso Robles MSA","Metropolitan Area","2009","Annual","N","Final","138000","125400","12600","9.1"
"San Luis Obispo County","County","2009","Annual","N","Final","138000","125400","12600","9.1"
"San Francisco-San Mateo-Redwood City MD","Metropolitan Area","2009","Annual","N","Final","843300","769200","74000","8.8"
"San Francisco County","County","2009","Annual","N","Final","464800","423000","41800","9"
"San Diego-Chula Vista-Carlsbad MSA","Metropolitan Area","2009","Annual","N","Final","1572900","1419800","153100","9.7"
"San Diego County","County","2009","Annual","N","Final","1572900","1419800","153100","9.7"
"San Bernardino County","County","2009","Annual","N","Final","869100","755200","113800","13.1"
"San Benito County","County","2009","Annual","N","Final","25200","21600","3600","14.4"
"Salinas MSA","Metropolitan Area","2009","Annual","N","Final","218100","192100","26000","11.9"
"Monterey County","County","2009","Annual","N","Final","218100","192100","26000","11.9"
"Sacramento-Roseville-Folsom MSA","Metropolitan Area","2009","Annual","N","Final","1064400","944700","119700","11.2"
"Sacramento County","County","2009","Annual","N","Final","689700","611000","78700","11.4"
"Riverside-San Bernardino-Ontario MSA","Metropolitan Area","2009","Annual","N","Final","1797100","1557500","239600","13.3"
"Riverside County","County","2009","Annual","N","Final","928100","802300","125800","13.6"
"Redding MSA","Metropolitan Area","2009","Annual","N","Final","85100","72500","12600","14.8"
"Shasta County","County","2009","Annual","N","Final","85100","72500","12600","14.8"
"Plumas County","County","2009","Annual","N","Final","10160","8540","1620","15.9"
"Placer County","County","2009","Annual","N","Final","181900","162700","19200","10.6"
"Oxnard-Thousand Oaks-Ventura MSA","Metropolitan Area","2009","Annual","N","Final","435500","392000","43500","10"
"Ventura County","County","2009","Annual","N","Final","435500","392000","43500","10"
"Oakland-Fremont-Berkeley MD","Metropolitan Area","2009","Annual","N","Final","1301400","1164800","136600","10.5"
"Nevada County","County","2009","Annual","N","Final","51000","45570","5430","10.6"
"Napa MSA","Metropolitan Area","2009","Annual","N","Final","76400","69800","6600","8.7"
"Napa County","County","2009","Annual","N","Final","76400","69800","6600","8.7"
"Mono County","County","2009","Annual","N","Final","8840","8030","800","9.1"
"Modoc County","County","2009","Annual","N","Final","4100","3580","510","12.5"
"Modesto MSA","Metropolitan Area","2009","Annual","N","Final","237800","199700","38100","16"
"Stanislaus County","County","2009","Annual","N","Final","237800","199700","38100","16"
"Merced MSA","Metropolitan Area","2009","Annual","N","Final","106900","88600","18400","17.2"
"Merced County","County","2009","Annual","N","Final","106900","88600","18400","17.2"
"Mendocino County","County","2009","Annual","N","Final","43840","39270","4560","10.4"
"Mariposa County","County","2009","Annual","N","Final","9510","8500","1010","10.6"
"Madera County","County","2009","Annual","N","Final","67400","58100","9300","13.8"
"Lassen County","County","2009","Annual","N","Final","13740","11990","1750","12.8"
"Lake County","County","2009","Annual","N","Final","25730","21740","3990","15.5"
"Inyo County","County","2009","Annual","N","Final","9500","8620","880","9.3"
"Humboldt County","County","2009","Annual","N","Final","61600","54800","6800","11.1"
"Glenn County","County","2009","Annual","N","Final","12750","10890","1870","14.6"
"Hanford-Corcoran MSA","Metropolitan Area","2009","Annual","N","Final","61300","52300","9000","14.7"
"Kings County","County","2009","Annual","N","Final","61300","52300","9000","14.7"
"Fresno MSA","Metropolitan Area","2009","Annual","N","Final","507500","431400","76100","15"
"Fresno County","County","2009","Annual","N","Final","440200","373300","66800","15.2"
"El Dorado County","County","2009","Annual","N","Final","92800","82400","10400","11.2"
"Del Norte County","County","2009","Annual","N","Final","11830","10390","1440","12.2"
"El Centro MSA","Metropolitan Area","2009","Annual","N","Final","77000","55300","21700","28.2"
"Imperial County","County","2009","Annual","N","Final","77000","55300","21700","28.2"
"Contra Costa County","County","2009","Annual","N","Final","531200","476400","54800","10.3"
"Colusa County","County","2009","Annual","N","Final","11690","9570","2120","18.2"
"Chico MSA","Metropolitan Area","2009","Annual","N","Final","105100","91700","13400","12.7"
"Butte County","County","2009","Annual","N","Final","105100","91700","13400","12.7"
"Calaveras County","County","2009","Annual","N","Final","20600","17710","2900","14.1"
"Amador County","County","2009","Annual","N","Final","18040","15910","2130","11.8"
"Bakersfield-Delano MSA","Metropolitan Area","2009","Annual","N","Final","367700","314200","53500","14.5"
"Kern County","County","2009","Annual","N","Final","367700","314200","53500","14.5"
"Anaheim-Santa Ana-Irvine MD","Metropolitan Area","2009","Annual","N","Final","1607800","1463500","144300","9"
"Orange County","County","2009","Annual","N","Final","1607800","1463500","144300","9"
"Alpine County","County","2009","Annual","N","Final","450","390","70","14.6"
"Alameda County","County","2009","Annual","N","Final","770200","688400","81800","10.6"
"Alameda city","Sub-County Place","2010","Annual","N","Final","39300","35500","3800","9.7"
"Albany city","Sub-County Place","2010","Annual","N","Final","8700","8100","600","6.8"
"Ashland CDP","Sub-County Place","2010","Annual","N","Final","10900","9400","1500","14.1"
"Berkeley city","Sub-County Place","2010","Annual","N","Final","58300","53000","5300","9.1"
"Castro Valley CDP","Sub-County Place","2010","Annual","N","Final","29400","27400","2100","7.1"
"Cherryland CDP","Sub-County Place","2010","Annual","N","Final","7000","5900","1200","16.5"
"Dublin city","Sub-County Place","2010","Annual","N","Final","23100","21500","1600","7.1"
"Emeryville city","Sub-County Place","2010","Annual","N","Final","7800","7000","800","9.9"
"Fairview CDP","Sub-County Place","2010","Annual","N","Final","5100","4600","400","8.7"
"Fremont city","Sub-County Place","2010","Annual","N","Final","108800","99200","9600","8.9"
"Hayward city","Sub-County Place","2010","Annual","N","Final","75400","64000","11500","15.2"
"Livermore city","Sub-County Place","2010","Annual","N","Final","43100","39800","3300","7.7"
"Newark city","Sub-County Place","2010","Annual","N","Final","22500","20300","2200","9.6"
"Oakland city","Sub-County Place","2010","Annual","N","Final","205000","177200","27900","13.6"
"Piedmont city","Sub-County Place","2010","Annual","N","Final","4900","4300","600","11.4"
"Pleasanton city","Sub-County Place","2010","Annual","N","Final","35200","32100","3100","8.8"
"San Leandro city","Sub-County Place","2010","Annual","N","Final","45400","40000","5400","12"
"San Lorenzo CDP","Sub-County Place","2010","Annual","N","Final","13900","12100","1800","13"
"Sunol CDP","Sub-County Place","2010","Annual","N","Final","400","300","100","13.8"
"Union City city","Sub-County Place","2010","Annual","N","Final","34900","31300","3500","10.1"
"Alpine Village CDP","Sub-County Place","2010","Annual","N","Final","100","70","30","28"
"Bear Valley CDP","Sub-County Place","2010","Annual","N","Final","60","40","20","28.6"
"Kirkwood CDP","Sub-County Place","2010","Annual","N","Final","110","110","10","4.5"
"Markleeville CDP","Sub-County Place","2010","Annual","N","Final","40","40","0","0"
"Mesa Vista CDP","Sub-County Place","2010","Annual","N","Final","100","90","0","4.2"
"Amador City city","Sub-County Place","2010","Annual","N","Final","110","90","20","16.5"
"Ione city","Sub-County Place","2010","Annual","N","Final","2470","2340","130","5.3"
"Jackson city","Sub-County Place","2010","Annual","N","Final","1790","1680","110","6"
"Plymouth city","Sub-County Place","2010","Annual","N","Final","580","520","60","10.2"
"Sutter Creek city","Sub-County Place","2010","Annual","N","Final","1150","820","330","28.6"
"Aliso Viejo city","Sub-County Place","2010","Annual","N","Final","27900","25700","2200","7.9"
"Anaheim city","Sub-County Place","2010","Annual","N","Final","169100","148000","21100","12.5"
"Brea city","Sub-County Place","2010","Annual","N","Final","20900","18900","2000","9.6"
"Buena Park city","Sub-County Place","2010","Annual","N","Final","38900","35500","3400","8.6"
"Costa Mesa city","Sub-County Place","2010","Annual","N","Final","64300","57800","6500","10.1"
"Coto de Caza CDP","Sub-County Place","2010","Annual","N","Final","7900","7200","700","8.7"
"Cypress city","Sub-County Place","2010","Annual","N","Final","23800","22200","1700","6.9"
"Dana Point city","Sub-County Place","2010","Annual","N","Final","18500","16800","1700","9.4"
"Fountain Valley city","Sub-County Place","2010","Annual","N","Final","28100","25400","2800","9.8"
"Fullerton city","Sub-County Place","2010","Annual","N","Final","69300","61500","7800","11.3"
"Garden Grove city","Sub-County Place","2010","Annual","N","Final","83100","72900","10200","12.3"
"Huntington Beach city","Sub-County Place","2010","Annual","N","Final","103800","93800","10000","9.7"
"Irvine city","Sub-County Place","2010","Annual","N","Final","109200","101000","8300","7.6"
"La Habra city","Sub-County Place","2010","Annual","N","Final","30600","27100","3400","11.3"
"La Palma city","Sub-County Place","2010","Annual","N","Final","7000","6500","500","7.1"
"Laguna Beach city","Sub-County Place","2010","Annual","N","Final","12200","11300","900","7.7"
"Laguna Hills city","Sub-County Place","2010","Annual","N","Final","16600","15100","1500","9.2"
"Laguna Niguel city","Sub-County Place","2010","Annual","N","Final","33800","30700","3100","9.2"
"Laguna Woods city","Sub-County Place","2010","Annual","N","Final","3800","3300","500","12.5"
"Lake Forest city","Sub-County Place","2010","Annual","N","Final","43500","40400","3100","7.2"
"Las Flores CDP","Sub-County Place","2010","Annual","N","Final","2600","2400","200","7.5"
"Los Alamitos city","Sub-County Place","2010","Annual","N","Final","5700","5000","800","13.7"
"Mission Viejo city","Sub-County Place","2010","Annual","N","Final","48500","44000","4600","9.4"
"Newport Beach city","Sub-County Place","2010","Annual","N","Final","44500","40800","3700","8.3"
"Orange city","Sub-County Place","2010","Annual","N","Final","70700","64000","6700","9.5"
"Placentia city","Sub-County Place","2010","Annual","N","Final","25900","23000","2900","11.2"
"Rancho Santa Margarita city","Sub-County Place","2010","Annual","N","Final","26500","24900","1600","5.9"
"Rossmoor CDP","Sub-County Place","2010","Annual","N","Final","4900","4500","400","8.9"
"San Clemente city","Sub-County Place","2010","Annual","N","Final","30800","28300","2600","8.4"
"San Juan Capistrano city","Sub-County Place","2010","Annual","N","Final","16900","15100","1900","11"
"Santa Ana city","Sub-County Place","2010","Annual","N","Final","157200","139300","17900","11.4"
"Seal Beach city","Sub-County Place","2010","Annual","N","Final","9900","9000","900","8.8"
"Stanton city","Sub-County Place","2010","Annual","N","Final","19000","16500","2500","13"
"Tustin city","Sub-County Place","2010","Annual","N","Final","40300","36500","3800","9.4"
"Villa Park city","Sub-County Place","2010","Annual","N","Final","2200","2200","100","2.5"
"Westminster city","Sub-County Place","2010","Annual","N","Final","43000","37200","5800","13.5"
"Yorba Linda city","Sub-County Place","2010","Annual","N","Final","33000","30100","2900","8.8"
"Arvin city","Sub-County Place","2010","Annual","N","Final","7800","6300","1600","20.1"
"Bakersfield city","Sub-County Place","2010","Annual","N","Final","166300","142300","24000","14.4"
"Bear Valley Springs CDP","Sub-County Place","2010","Annual","N","Final","1700","1700","0","2.5"
"Bodfish CDP","Sub-County Place","2010","Annual","N","Final","500","300","200","38.2"
"Boron CDP","Sub-County Place","2010","Annual","N","Final","1000","800","200","19"
"Buttonwillow CDP","Sub-County Place","2010","Annual","N","Final","400","300","100","19"
"California City city","Sub-County Place","2010","Annual","N","Final","5600","3900","1700","30.1"
"China Lake Acres CDP","Sub-County Place","2010","Annual","N","Final","1200","1000","200","17.5"
"Delano city","Sub-County Place","2010","Annual","N","Final","19500","15800","3700","18.9"
"Derby Acres CDP","Sub-County Place","2010","Annual","N","Final","200","100","100","31.6"
"Dustin Acres CDP","Sub-County Place","2010","Annual","N","Final","100","100","0","0"
"Edwards AFB CDP","Sub-County Place","2010","Annual","N","Final","300","200","0","15.4"
"Fellows CDP","Sub-County Place","2010","Annual","N","Final","0","0","0","22.5"
"Ford City CDP","Sub-County Place","2010","Annual","N","Final","2200","1400","800","36.5"
"Frazier Park CDP","Sub-County Place","2010","Annual","N","Final","1500","1300","200","15.8"
"Golden Hills CDP","Sub-County Place","2010","Annual","N","Final","4500","4300","200","5.1"
"Inyokern CDP","Sub-County Place","2010","Annual","N","Final","300","300","0","12.5"
"Johannesburg CDP","Sub-County Place","2010","Annual","N","Final","0","0","0","0"
"Keene CDP","Sub-County Place","2010","Annual","N","Final","100","100","0","0"
"Kernville CDP","Sub-County Place","2010","Annual","N","Final","300","200","100","32.2"
"Lake Isabella CDP","Sub-County Place","2010","Annual","N","Final","1100","700","400","34.8"
"Lake of the Woods CDP","Sub-County Place","2010","Annual","N","Final","200","200","100","26.3"
"Lamont CDP","Sub-County Place","2010","Annual","N","Final","5700","4900","900","15.4"
"Lebec CDP","Sub-County Place","2010","Annual","N","Final","300","300","0","8.4"
"Lost Hills CDP","Sub-County Place","2010","Annual","N","Final","700","600","100","8.9"
"Maricopa city","Sub-County Place","2010","Annual","N","Final","500","400","100","21.2"
"McFarland city","Sub-County Place","2010","Annual","N","Final","5200","4400","700","14.5"
"McKittrick CDP","Sub-County Place","2010","Annual","N","Final","0","0","0","6.8"
"Mettler CDP","Sub-County Place","2010","Annual","N","Final","100","100","0","8.1"
"Mojave CDP","Sub-County Place","2010","Annual","N","Final","1500","1300","200","15.7"
"Mountain Mesa CDP","Sub-County Place","2010","Annual","N","Final","100","100","0","0"
"North Edwards CDP","Sub-County Place","2010","Annual","N","Final","500","400","100","20.9"
"Oildale CDP","Sub-County Place","2010","Annual","N","Final","14100","10600","3400","24.3"
"Onyx CDP","Sub-County Place","2010","Annual","N","Final","200","200","100","30"
"Pine Mountain Club CDP","Sub-County Place","2010","Annual","N","Final","800","600","200","26.8"
"Randsburg CDP","Sub-County Place","2010","Annual","N","Final","0","0","0","0"
"Ridgecrest city","Sub-County Place","2010","Annual","N","Final","13300","11900","1500","11"
"Rosamond CDP","Sub-County Place","2010","Annual","N","Final","8400","7000","1400","17.1"
"Rosedale CDP","Sub-County Place","2010","Annual","N","Final","8800","8200","600","6.8"
"Shafter city","Sub-County Place","2010","Annual","N","Final","7700","6700","1000","13.2"
"South Taft CDP","Sub-County Place","2010","Annual","N","Final","1000","700","300","28.8"
"Squirrel Mountain Valley CDP","Sub-County Place","2010","Annual","N","Final","300","200","100","33.2"
"Stallion Springs CDP","Sub-County Place","2010","Annual","N","Final","800","800","100","6"
"Taft city","Sub-County Place","2010","Annual","N","Final","2600","2300","300","11.2"
"Taft Heights CDP","Sub-County Place","2010","Annual","N","Final","700","500","100","16.8"
"Tehachapi city","Sub-County Place","2010","Annual","N","Final","3300","2800","500","15.2"
"Tupman CDP","Sub-County Place","2010","Annual","N","Final","100","100","0","0"
"Valley Acres CDP","Sub-County Place","2010","Annual","N","Final","300","200","100","43.2"
"Wasco city","Sub-County Place","2010","Annual","N","Final","8400","6600","1700","20.8"
"Weedpatch CDP","Sub-County Place","2010","Annual","N","Final","1100","700","500","39.4"
"Weldon CDP","Sub-County Place","2010","Annual","N","Final","700","600","100","15.2"
"Wofford Heights CDP","Sub-County Place","2010","Annual","N","Final","400","300","0","12"
"Angels City city","Sub-County Place","2010","Annual","N","Final","1570","1310","260","16.3"
"Arnold CDP","Sub-County Place","2010","Annual","N","Final","1030","860","170","16.3"
"Avery CDP","Sub-County Place","2010","Annual","N","Final","240","120","120","50.2"
"Copperopolis CDP","Sub-County Place","2010","Annual","N","Final","1900","1480","430","22.4"
"Dorrington CDP","Sub-County Place","2010","Annual","N","Final","190","170","20","7.9"
"Forest Meadows CDP","Sub-County Place","2010","Annual","N","Final","690","520","160","23.8"
"Mokelumne Hill CDP","Sub-County Place","2010","Annual","N","Final","380","380","0","0"
"Mountain Ranch CDP","Sub-County Place","2010","Annual","N","Final","10","10","0","0"
"Murphys CDP","Sub-County Place","2010","Annual","N","Final","800","750","50","6.1"
"Rancho Calaveras CDP","Sub-County Place","2010","Annual","N","Final","2880","2530","350","12"
"San Andreas CDP","Sub-County Place","2010","Annual","N","Final","760","760","0","0"
"Valley Springs CDP","Sub-County Place","2010","Annual","N","Final","2220","1830","390","17.6"
"West Point CDP","Sub-County Place","2010","Annual","N","Final","270","270","0","0"
"Biggs city","Sub-County Place","2010","Annual","N","Final","1200","1000","200","19.3"
"Chico city","Sub-County Place","2010","Annual","N","Final","46300","40700","5600","12"
"Concow CDP","Sub-County Place","2010","Annual","N","Final","100","100","0","11.6"
"Durham CDP","Sub-County Place","2010","Annual","N","Final","2900","2400","500","16"
"Gridley city","Sub-County Place","2010","Annual","N","Final","3100","2600","500","15.3"
"Magalia CDP","Sub-County Place","2010","Annual","N","Final","4100","3500","600","15.1"
"Oroville city","Sub-County Place","2010","Annual","N","Final","7600","6300","1300","17.3"
"Oroville East CDP","Sub-County Place","2010","Annual","N","Final","3200","2700","500","16"
"Palermo CDP","Sub-County Place","2010","Annual","N","Final","2200","1900","300","14.9"
"Paradise town","Sub-County Place","2010","Annual","N","Final","11300","9900","1400","12.5"
"South Oroville CDP","Sub-County Place","2010","Annual","N","Final","1200","1200","100","6.2"
"Thermalito CDP","Sub-County Place","2010","Annual","N","Final","2800","2300","500","17.9"
"Arbuckle CDP","Sub-County Place","2010","Annual","N","Final","1720","1610","120","6.7"
"Colusa city","Sub-County Place","2010","Annual","N","Final","3060","2640","420","13.8"
"Williams city","Sub-County Place","2010","Annual","N","Final","3420","2210","1210","35.4"
"Alamo CDP","Sub-County Place","2010","Annual","N","Final","5300","5000","300","6.2"
"Antioch city","Sub-County Place","2010","Annual","N","Final","49600","42100","7500","15.2"
"Bay Point CDP","Sub-County Place","2010","Annual","N","Final","11600","9500","2100","18"
"Bethel Island CDP","Sub-County Place","2010","Annual","N","Final","900","700","300","26.8"
"Brentwood city","Sub-County Place","2010","Annual","N","Final","24000","21700","2300","9.6"
"Byron CDP","Sub-County Place","2010","Annual","N","Final","900","700","200","22.7"
"Clayton city","Sub-County Place","2010","Annual","N","Final","4600","4200","400","8.6"
"Clyde CDP","Sub-County Place","2010","Annual","N","Final","200","200","0","0"
"Concord city","Sub-County Place","2010","Annual","N","Final","64500","56700","7800","12.1"
"Crockett CDP","Sub-County Place","2010","Annual","N","Final","1700","1500","200","13"
"Danville town","Sub-County Place","2010","Annual","N","Final","19600","17800","1800","9"
"Diablo CDP","Sub-County Place","2010","Annual","N","Final","200","200","0","0"
"Discovery Bay CDP","Sub-County Place","2010","Annual","N","Final","7100","6200","800","11.7"
"East Richmond Heights CDP","Sub-County Place","2010","Annual","N","Final","1700","1600","100","8.1"
"El Cerrito city","Sub-County Place","2010","Annual","N","Final","12600","11300","1300","10.6"
"El Sobrante CDP","Sub-County Place","2010","Annual","N","Final","7100","6500","600","8.1"
"Hercules city","Sub-County Place","2010","Annual","N","Final","13000","12000","1000","7.6"
"Kensington CDP","Sub-County Place","2010","Annual","N","Final","2400","2100","300","10.9"
"Knightsen CDP","Sub-County Place","2010","Annual","N","Final","600","500","0","4.5"
"Lafayette city","Sub-County Place","2010","Annual","N","Final","11100","10400","700","6.3"
"Martinez city","Sub-County Place","2010","Annual","N","Final","19700","17700","2000","10.2"
"Moraga town","Sub-County Place","2010","Annual","N","Final","6700","6000","700","10.1"
"Mountain View CDP","Sub-County Place","2010","Annual","N","Final","1000","900","0","1.8"
"Oakley city","Sub-County Place","2010","Annual","N","Final","17700","15200","2400","13.8"
"Orinda city","Sub-County Place","2010","Annual","N","Final","8000","7500","500","6.4"
"Pacheco CDP","Sub-County Place","2010","Annual","N","Final","2800","2400","400","13.3"
"Pinole city","Sub-County Place","2010","Annual","N","Final","8800","8100","700","7.9"
"Pittsburg city","Sub-County Place","2010","Annual","N","Final","31400","27200","4200","13.3"
"Pleasant Hill city","Sub-County Place","2010","Annual","N","Final","17400","15700","1600","9.5"
"Port Costa CDP","Sub-County Place","2010","Annual","N","Final","100","100","0","16.9"
"Richmond city","Sub-County Place","2010","Annual","N","Final","51900","45200","6700","12.8"
"Rodeo CDP","Sub-County Place","2010","Annual","N","Final","4400","3800","600","13.6"
"Rollingwood CDP","Sub-County Place","2010","Annual","N","Final","1700","1200","400","25.8"
"San Pablo city","Sub-County Place","2010","Annual","N","Final","14100","11800","2400","16.7"
"San Ramon city","Sub-County Place","2010","Annual","N","Final","37500","34600","2900","7.7"
"Tara Hills CDP","Sub-County Place","2010","Annual","N","Final","2500","2300","200","7.1"
"Vine Hill CDP","Sub-County Place","2010","Annual","N","Final","1600","1400","200","14.2"
"Walnut Creek city","Sub-County Place","2010","Annual","N","Final","31400","29000","2500","7.8"
"Bertsch Oceanview CDP","Sub-County Place","2010","Annual","N","Final","1180","1040","140","11.7"
"Crescent City city","Sub-County Place","2010","Annual","N","Final","1870","1500","370","19.7"
"Klamath CDP","Sub-County Place","2010","Annual","N","Final","360","260","110","28.8"
"Brawley city","Sub-County Place","2010","Annual","N","Final","12100","8200","3900","31.9"
"Calexico city","Sub-County Place","2010","Annual","N","Final","18400","12200","6200","33.6"
"Calipatria city","Sub-County Place","2010","Annual","N","Final","1400","1000","400","31.2"
"El Centro city","Sub-County Place","2010","Annual","N","Final","21200","15400","5800","27.5"
"Heber CDP","Sub-County Place","2010","Annual","N","Final","3300","3000","400","11.5"
"Holtville city","Sub-County Place","2010","Annual","N","Final","2700","1800","900","32.2"
"Imperial city","Sub-County Place","2010","Annual","N","Final","7900","6600","1400","17.4"
"Westmorland city","Sub-County Place","2010","Annual","N","Final","1000","600","400","38.2"
"Cameron Park CDP","Sub-County Place","2010","Annual","N","Final","8700","7400","1300","15.3"
"Diamond Springs CDP","Sub-County Place","2010","Annual","N","Final","5200","4300","900","16.8"
"El Dorado Hills CDP","Sub-County Place","2010","Annual","N","Final","22500","20100","2400","10.7"
"Georgetown CDP","Sub-County Place","2010","Annual","N","Final","1200","800","500","37.9"
"Placerville city","Sub-County Place","2010","Annual","N","Final","5100","4600","500","10.4"
"Pollock Pines CDP","Sub-County Place","2010","Annual","N","Final","2600","2400","300","10.2"
"Shingle Springs CDP","Sub-County Place","2010","Annual","N","Final","1500","1500","0","2.1"
"South Lake Tahoe city","Sub-County Place","2010","Annual","N","Final","12700","11200","1500","11.7"
"Auberry CDP","Sub-County Place","2010","Annual","N","Final","1100","900","100","13.6"
"Biola CDP","Sub-County Place","2010","Annual","N","Final","800","500","300","35.6"
"Calwa CDP","Sub-County Place","2010","Annual","N","Final","1000","700","300","31.8"
"Cantua Creek CDP","Sub-County Place","2010","Annual","N","Final","100","100","0","0"
"Caruthers CDP","Sub-County Place","2010","Annual","N","Final","900","700","200","19"
"Clovis city","Sub-County Place","2010","Annual","N","Final","48600","42100","6600","13.5"
"Coalinga city","Sub-County Place","2010","Annual","N","Final","6100","4800","1300","20.9"
"Del Rey CDP","Sub-County Place","2010","Annual","N","Final","700","500","200","22.8"
"Easton CDP","Sub-County Place","2010","Annual","N","Final","1100","1000","100","12.6"
"Firebaugh city","Sub-County Place","2010","Annual","N","Final","3300","2200","1000","31.6"
"Fowler city","Sub-County Place","2010","Annual","N","Final","2800","2400","500","16.4"
"Fresno city","Sub-County Place","2010","Annual","N","Final","236900","193200","43600","18.4"
"Friant CDP","Sub-County Place","2010","Annual","N","Final","200","200","0","13.2"
"Huron city","Sub-County Place","2010","Annual","N","Final","2900","1900","900","32.4"
"Kerman city","Sub-County Place","2010","Annual","N","Final","7100","5600","1500","20.9"
"Kingsburg city","Sub-County Place","2010","Annual","N","Final","5200","4600","600","11.2"
"Lanare CDP","Sub-County Place","2010","Annual","N","Final","300","200","100","35.1"
"Laton CDP","Sub-County Place","2010","Annual","N","Final","600","500","100","20.3"
"Mendota city","Sub-County Place","2010","Annual","N","Final","5100","4000","1100","22.2"
"Orange Cove city","Sub-County Place","2010","Annual","N","Final","3900","2900","900","24"
"Parlier city","Sub-County Place","2010","Annual","N","Final","6100","5500","600","10"
"Raisin City CDP","Sub-County Place","2010","Annual","N","Final","200","100","100","52.1"
"Reedley city","Sub-County Place","2010","Annual","N","Final","11500","9600","1900","16.5"
"Riverdale CDP","Sub-County Place","2010","Annual","N","Final","900","800","100","9.4"
"San Joaquin city","Sub-County Place","2010","Annual","N","Final","1400","1000","400","30.1"
"Sanger city","Sub-County Place","2010","Annual","N","Final","11800","9600","2200","18.7"
"Selma city","Sub-County Place","2010","Annual","N","Final","10600","8700","1900","17.7"
"Shaver Lake CDP","Sub-County Place","2010","Annual","N","Final","100","100","0","11.2"
"Squaw Valley CDP","Sub-County Place","2010","Annual","N","Final","1000","900","0","3.5"
"Tranquillity CDP","Sub-County Place","2010","Annual","N","Final","200","200","100","32.8"
"Hamilton City CDP","Sub-County Place","2010","Annual","N","Final","1160","960","200","17.2"
"Orland city","Sub-County Place","2010","Annual","N","Final","3650","3130","520","14.1"
"Willows city","Sub-County Place","2010","Annual","N","Final","2400","1920","470","19.7"
"Armona CDP","Sub-County Place","2010","Annual","N","Final","1800","1600","200","12.9"
"Avenal city","Sub-County Place","2010","Annual","N","Final","4300","3300","1000","22.4"
"Corcoran city","Sub-County Place","2010","Annual","N","Final","4900","4000","1000","19.4"
"Hanford city","Sub-County Place","2010","Annual","N","Final","24300","20700","3700","15"
"Home Garden CDP","Sub-County Place","2010","Annual","N","Final","600","500","100","17.2"
"Kettleman City CDP","Sub-County Place","2010","Annual","N","Final","500","400","0","6.2"
"Lemoore city","Sub-County Place","2010","Annual","N","Final","11600","9900","1700","14.8"
"Lemoore Station CDP","Sub-County Place","2010","Annual","N","Final","1100","900","200","15.2"
"Stratford CDP","Sub-County Place","2010","Annual","N","Final","400","400","0","9.3"
"Arcata city","Sub-County Place","2010","Annual","N","Final","11300","9400","1900","16.6"
"Blue Lake city","Sub-County Place","2010","Annual","N","Final","500","400","100","10.8"
"Eureka city","Sub-County Place","2010","Annual","N","Final","13600","12200","1400","10.6"
"Ferndale city","Sub-County Place","2010","Annual","N","Final","600","500","0","7.2"
"Fortuna city","Sub-County Place","2010","Annual","N","Final","5900","5400","500","8.3"
